Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Iklódbördőce,530,Zala,"46,35,39-16,35,41",2022,kocsányos tölgy,
Füzérradvány,530,Borsod-Abaúj-Zemplén,"48,29,02-21,31,55",2004,kocsányos tölgy,2012: kidőlve
Barcs,530,Somogy,"45,56,45-17,24,40",2011,kocsányos tölgy,Lukács Róbert; vastag borostyánréteggel
Tuzsér,529,Szabolcs-Szatmár-Bereg,"48,20,51-22,07,18",2003,kocsányos tölgy,536/2023
Gemenc,529,Tolna,"46,19,42-18,52,50",2010,kocsányos tölgy,"Mellmagasságban kétfelé ágazik. Elblinger Ferenc, Dombi Imre"
Mosdós,529,Somogy,"46,21,14-17,59,45",2019,kocsányos tölgy,Sólyom Attila; magasság: 32 m/2019
Albertirsa,529,Pest,"47,17,10-19,38,58",2016,kocsányos tölgy,"Farkas Magdolna; 2022: még áll, de nem él (Duchaj Benjamin)"
Lad,529,Somogy,"46,08,52-17,38,56",2005,kocsányos tölgy,"540/2009, 566/2014 - pusztulóban; 551/2017, 544/2023"
Semjén,529,Borsod-Abaúj-Zemplén,"48,21,17-21,58,20",2017,kocsányos tölgy,magasság: 26 m/2017
Sitke,528,Vas,"47,13,52-17,00,24",2008,kocsánytalan tölgy,
Isztimér**,528,Fejér,"47,16,58-18,05,35",2019,kocsányos tölgy,"Sütő Krisztián, Krausz István"
Szabadkígyós,528,Békés,"46,36,28-21,05,04",2004,kocsányos tölgy,"546/2010, 560/2017; magasság: 27 m/2017; 570/2021, rovarrágás nyomai"
Túristvándi,528,Szabolcs-Szatmár-Bereg,"48,03,51-22,40,06",2009,kocsányos tölgy,Barcánfalvi Péter
Iklódbördőce,528,Zala,"46,35,08-16,35,33",2004,kocsányos tölgy,541/2012; 562/2022
Kőkút-Gyöngyöspuszta,528,Somogy,"46,10,04-17,36,48",2026,kocsányos tölgy,"Elblinger Ferenc, Lukács Róbert"
Péterhida,527,Somogy,"45,59,43-17,20,28",2003,kocsányos tölgy,537/2009; 598/2022 (alul kúpos törzs); magasság: 28 m/2022
Csokonyavisonta,527,Somogy,"46,02,45-17,27,01",2016,kocsányos tölgy,
Őcsény,527,Tolna,"46,18,21-18,46,57",2010,kocsányos tölgy,"Elblinger Ferenc, Dombi Imre"
Merenye,527,Baranya,"46,03,29-17,42,20",2020,kocsányos tölgy,Lukács Róbert
Szulok,526,Somogy,"46,03,06-17,30,55",2015,kocsányos tölgy,Lukács Róbert
Tibolddaróc,526,Borsod-Abaúj-Zemplén,"47,56,37-20,36,15",2016,csertölgy,"Torma Zoltánné, Torma Zoltán; Szél Győző"
Káld,526,Vas,"47,08,35-16,59,23",2010,csertölgy,"Khell Melinda, Németh Tamás"
Nadap,526,Fejér,"47,16,46-18,34,58",2009,kocsányos tölgy,Szél Győző
Molvány,526,Baranya,"46,01,15-17,45,05",2011,kocsányos tölgy,Lukács Róbert
Oroszlány,526,Komárom-Esztergom,"47,27,19-18,16,04",2020,kocsányos tölgy,Szél Győző; magasság: 23 m/2020
Cserénfa,525,Somogy,"46,18,37-17,52,21",2019,csertölgy,"Balogh Béla, Schmidt András; magasság: 26 m/2019"
Tornyiszentmiklós,525,Zala,"46,31,50-16,32,15",2003,kocsányos tölgy,Vissi Géza; 554/2025
Borsfa,525,Zala,"46,29,07-16,47,10",2013,kocsányos tölgy,"Csóbor Ákos, Sovány Mihály; 535/2016, 539/2018"
Lakitelek,525,Bács-Kiskun,"46,51,19-20,00,16",2026,kocsányos tölgy,"Balczó Tamás, Buzás Csobán"
Nagyrécse,525,Zala,"46,29,16-17,04,13",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán"
Kaposvár,525,Somogy,"46,21,48-17,44,17",2008,,Petrovics Balázs
Tormafölde,525,Zala,"46,31,35-16,35,29",2011,kocsányos tölgy,Vissi Géza
Bóly,525,Baranya,"45,58,07-18,30,45",2003,kocsányos tölgy,"536/2008; 543/2014 - csonkult, több nagy ágát levágták. 540/2021"
Orosztony,525,Zala,"46,36,02-17,03,45",2012,kocsánytalan tölgy,"Vissi Géza, Baranyai László; 539/2023"
Somogyvár,525,Somogy,"46,34,55-17,37,28",2005,kocsányos tölgy,
Rátót,524,Vas,"46,57,45-16,25,41",2003,kocsányos tölgy,559/2015; 560/2020
Sárvár,524,Vas,"47,14,33-16,56,42",2003,kocsányos tölgy,
Túristvándi,524,Szabolcs-Szatmár-Bereg,"48,03,56-22,40,10",2009,kocsányos tölgy,Barcánfalvi Péter; 534/2014
Gemenc,524,Tolna,"46,19,48-18,50,55",2003,kocsányos tölgy,Keselyűs. 539/2009; 554/2013febr; 560/2015ápr
Nagymágocs,524,Csongrád,"46,35,38-20,28,09",2026,kocsányos tölgy,Baráth Miklós
Babócsa,523,Somogy,"46,01,24-17,20,10",2011,kocsányos tölgy,Szél Győző
Sárvár,523,Vas,"47,14,41-16,56,53",2003,kocsányos tölgy,550/2008; 565/2012; 577/2014
Csokonyavisonta,523,Somogy,"46,02,48-17,27,56",2015,kocsányos tölgy,Lukács Róbert
Tata,523,Komárom-Esztergom,"47,39,02-18,20,41",2024,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Teklafalu,522,Baranya,"45,55,47-17,43,45",2020,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Zsadány,522,Békés,"46,54,53-21,26,07",2004,kocsányos tölgy,"Orosipusztán; 522/2013, 533/2023"
Csokonyavisonta,522,Somogy,"46,02,30-17,27,23",2011,kocsányos tölgy,Zombori Zoltán
Cserépfalu,522,Borsod-Abaúj-Zemplén,"47,57,44-20,33,42",2017,kocsányos tölgy,Barczi József
Lad,522,Somogy,"46,08,51-17,38,55",2005,kocsányos tölgy,"540/2009; sok borostyánt levonva kb. 545/2014, 556/2017, 570/2023"
Alsóbogát,522,Somogy,"46,30,48-17,45,27",2007,kocsányos tölgy,"Detrich Miklós, Nagy László"
Tótszentgyörgy,521,Baranya,"46,02,52-17,43,49",2008,kocsányos tölgy,Lukács Róbert
Pölöske,521,Zala,"46,42,57-16,55,18",2020,kocsányos tölgy,Nagy Dániel
Szentlászló,521,Somogy,"46,10,48-17,49,32",2015,kocsányos tölgy,"Hoffmann Zsolt, Lukács Róbert"
Diósviszló,521,Baranya,"45,51,45-18,09,47",2010,kocsányos tölgy,"Lukács Róbert, Szél Győző"
Gic,520,Veszprém,"47,25,40-17,45,58",2021,kocsányos tölgy,"Volf Krisztián, Jandala Attila; magasság: 27 m/2021"
Patapoklosi,520,Baranya,"46,04,34-17,42,46",2016,kocsányos tölgy,Lukács Róbert
Debrecen,520,Hajdú-Bihar,"47,33,19-21,37,10",2004,kocsányos tölgy,
Kisdér,520,Baranya,"45,56,32-18,07,44",2025,kocsányos tölgy,"Torma Zoltán, Pósfai Mihály"
Tótszentgyörgy,520,Baranya,"46,03,08-17,43,45",2008,kocsányos tölgy,Lukács Róbert
Bódvalenke,520,Borsod-Abaúj-Zemplén,"48,31,42-20,47,51",2012,kocsányos tölgy,Molnár Bence
Bajánsenye,520,Vas,"46,47,33-16,23,48",2025,kocsányos tölgy,Nagy Dániel
Szőcsénypuszta,520,Somogy,"46,31,37-17,18,58",2008,kocsányos tölgy,
Gyékényes,520,Somogy,"46,14,02-17,02,20",2017,kocsányos tölgy,Novográdecz Péter; magasság: 34 m/2017
Zalatárnok,520,Zala,"46,41,21-16,47,25",2023,kocsányos tölgy,"Fitos László Zoltán, Fitos László Vencel"
Salgótarján,520,Nógrád,"48,04,58-19,48,31",2012,kocsányos tölgy,Jandala Attila
Iklódbördőce,520,Zala,"46,35,26-16,35,48",2012,kocsányos tölgy,Baranyai László
Kerkafalva,520,Zala,"46,46,32-16,28,45",2004,kocsányos tölgy,532/2012
Babócsa,520,Somogy,"46,01,00-17,20,01",2012,kocsányos tölgy,"Lukács Róbert, Szél Győző, Zombori Zoltán"
Nagyrécse,520,Zala,"46,29,00-17,04,31",2024,csertölgy,magasság: 28 m/2024
Sárvár,520,Vas,"47,16,50-16,58,44",2003,kocsányos tölgy,halott/2014
Vásárosbéc,519,Baranya,"46,10,10-17,43,28",2009,csertölgy,Lukács Róbert
Földeák,519,Csongrád,"46,19,31-20,27,44",2008,kocsányos tölgy,547/2018
Magyargencs,519,Veszprém,"47,22,50-17,17,10",2019,kocsányos tölgy,Teket Attila; magasság: 23 m/2019
Nagyrécse,519,Zala,"46,29,14-17,04,27",2009,csertölgy,549/2018; 560/2024
Homorúd,519,Baranya,"45,56,39-18,50,15",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán; magasság: 28 m/2017"
Túristvándi,519,Szabolcs-Szatmár-Bereg,"48,03,58-22,39,56",2009,kocsányos tölgy,Barcánfalvi Péter
Ivánc,518,Vas,"46,53,55-16,26,45",2016,kocsányos tölgy,Merkei Gábor
Zalabaksa,518,Zala,"46,43,01-16,32,26",2012,kocsányos tölgy,Vissi Géza
Tiszaigar,518,Jász-Nagykun-Szolnok,"47,31,11-20,47,55",2003,kocsányos tölgy,535/2016
Oroszlány,518,Komárom-Esztergom,"47,27,12-18,16,07",2014,kocsányos tölgy,
Kőkút-Gyöngyöspuszta,518,Somogy,"46,09,45-17,36,10",2006,kocsányos tölgy,"Detrich Miklós, Simon László; 561/2020, 571/2026"
Nagykovácsi,518,Pest,"47,34,31-18,53,29",2011,csertölgy,Baranyai László
Szőcsénypuszta,518,Somogy,"46,31,38-17,18,57",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Patca,517,Somogy,"46,17,10-17,44,09",2015,csertölgy,Lukács Róbert
Bakonynána,517,Veszprém,"47,15,20-17,57,36",2015,kocsányos tölgy,Szél Győző
Zádor,517,Baranya,"45,57,12-17,38,44",2020,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Kölked,517,Baranya,"45,57,28-18,44,14",2018,kocsányos tölgy,Szél Győző
Gutorfölde,516,Zala,"46,38,58-16,43,34",2025,kocsányos tölgy,
Ács,516,Komárom-Esztergom,"47,43,44-18,03,14",2010,kocsányos tölgy,Szél Győző
Tiszadob,516,Szabolcs-Szatmár-Bereg,"48,01,26-21,09,54",2016,kocsányos tölgy,
Vejti,516,Baranya,"45,49,46-17,58,20",2002,kocsányos tölgy,530/2016
Mikepércs,515,Hajdú-Bihar,"47,25,13-21,38,51",2009,kocsányos tölgy,
Muraszemenye,515,Zala,"46,29,14-16,38,22",2011,kocsányos tölgy,Vissi Géza
Szulok,515,Somogy,"46,02,28-17,31,37",2015,kocsányos tölgy,Lukács Róbert
Somogytarnóca,515,Somogy,"46,00,57-17,27,44",2015,csertölgy,"Lukács Róbert, Szél Győző"
Patapoklosi,515,Baranya,"46,04,36-17,42,49",2016,csertölgy,Lukács Róbert
Bodajk,515,Fejér,"47,19,25-18,10,19",2020,kocsányos tölgy,Szél Győző
Segesd,515,Somogy,"46,21,27-17,22,52",2020,kocsányos tölgy,
Böhönye,515,Somogy,"46,24,23-17,23,25",2015,kocsányos tölgy,525/2020
Homorúd,515,Baranya,"45,57,19-18,49,58",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán"
Merenye,515,Baranya,"46,03,30-17,42,14",2020,kocsányos tölgy,Lukács Róbert
Szőkedencs,515,Somogy,"46,32,52-17,13,52",2017,kocsányos tölgy,Sólyom Attila
Gyulavári,515,Békés,"46,41,34-21,25,05",2009,kocsányos tölgy,521/2013; 2025: már nincsen meg
Parádsasvár,515,Heves,"47,55,34-19,58,58",2012,csertölgy,Szél Győző
Hédervár,515,Győr-Moson-Sopron,"47,49,25-17,27,43",2013,kocsányos tölgy,Szél Győző
Lad/Rákospuszta,515,Somogy,"46,08,58-17,39,30",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán; magasság: 29 m/2017"
Szentbalázs,514,Somogy,"46,18,56-17,53,39",2020,kocsányos tölgy,Schmidt András
Tuzsér,514,Szabolcs-Szatmár-Bereg,"48,20,50-22,07,18",2003,kocsányos tölgy,540/2023
Tornyiszentmiklós,514,Zala,"46,31,42-16,32,36",2025,kocsányos tölgy,
Zsadány,514,Békés,"46,54,54-21,26,05",2023,kocsányos tölgy,
Csokonyavisonta,514,Somogy,"46,02,44-17,27,24",2016,kocsányos tölgy,
Gemenc,514,Tolna,"46,19,45-18,52,48",2010,kocsányos tölgy,"130 cm-en kettéágazik. Elblinger Ferenc, Dombi Imre"
Mikebuda,514,Pest,"47,09,09-19,38,08",2011,kocsányos tölgy,Baranyai László
Debrecen,514,Hajdú-Bihar,"47,33,08-21,37,38",2012,kocsányos tölgy,
Marcali,514,Somogy,"46,31,58-17,29,39",2015,kocsányos tölgy,"Sólyom Attila, Kisgyura László, Szehágel István"
Iklódbördőce,514,Zala,"46,35,12-16,35,49",2012,kocsányos tölgy,Baranyai László
Sárvár,514,Vas,"47,15,12-16,56,38",2016,kocsányos tölgy,"Szél Győző, Torma Zoltán, Torma Zoltánné; 518/2022"
Kevermes,514,Békés,"46,24,51-21,10,50",2026,kocsányos tölgy,Varga Zoltán; magasság: 26 m/2026
Somogyvár/Vityapuszta,514,Somogy,"46,35,29-17,43,43",2016,kocsányos tölgy,Sólyom Attila
Dénesfa,514,Győr-Moson-Sopron,"47,27,06-17,02,24",2003,kocsányos tölgy,
Lajosmizse,514,Bács-Kiskun,"47,05,37-19,33,26",2011,kocsányos tölgy,Baranyai László
Sárvár,514,Vas,"47,16,38-16,58,48",2003,kocsányos tölgy,519/2014; kidőlve találtuk/2020
Öreglak,513,Somogy,"46,35,16-17,37,19",2016,kocsányos tölgy,"Baranyai László, Sólyom Attila"
Kétegyháza,513,Békés,"46,32,45-21,11,46",2017,kocsányos tölgy,Abrudán Attila
Kadarkút,513,Somogy,"46,15,47-17,37,45",2015,kocsányos tölgy,Lukács Róbert
Csokonyavisonta,513,Somogy,"46,02,36-17,27,03",2016,kocsányos tölgy,
Csokonyavisonta,513,Somogy,"46,02,56-17,28,36",2020,kocsányos tölgy,
Zádor,513,Baranya,"45,56,24-17,39,00",2005,kocsányos tölgy,
Szarvas,513,Békés,"46,51,16-20,31,37",2017,kocsányos tölgy,Szél Győző; magasság: 25 m/2017
Hatvan,513,Heves,"47,43,07-19,42,03",2017,kocsányos tölgy,Király Tamás
Mátraháza,512,Heves,"47,52,31-19,57,22",2008,kocsánytalan tölgy,"Nagy-Halmaj-réten; Molnár Bence és Zoltán; 527/2014; 530/2017jan; magasság: 16 m/2017; 2017 áprilisában hótól-vihartól összetört (Hegedűs Attila, Abadi Eszter)"
Ivánc,512,Vas,"46,54,16-16,27,37",2016,kocsányos tölgy,"Torma Zoltán, Torma Zoltánné"
Molvány,512,Baranya,"46,01,20-17,44,53",2011,kocsányos tölgy,Lukács Róbert
Szabadkígyós,512,Békés,"46,36,33-21,05,04",2004,kocsányos tölgy,519/2010; Takács Márton: elszáradt (2013); 2021: nincs meg
Csokonyavisonta,512,Somogy,"46,02,53-17,27,36",2015,kocsányos tölgy,Lukács Róbert; 518/2020
Ivánc,512,Vas,"46,57,01-16,30,42",2021,vörös tölgy,magasság: 24 m/2021; 2023: kivágták (Nagy Dániel)
Gemenc,512,Tolna,"46,19,16-18,54,27",2003,kocsányos tölgy,Dunapart megálló. 522/2010; 550/2015
Lad/Rákospuszta,512,Somogy,"46,08,58-17,39,44",2009,kocsányos tölgy,Lukács Róbert
Pusztataskony,512,Jász-Nagykun-Szolnok,"47,27,28-20,30,57",2016,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Cserkeszőlő,512,Jász-Nagykun-Szolnok,"46,50,48-20,10,14",2016,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Borsodivánka,512,Borsod-Abaúj-Zemplén,"47,42,20-20,39,03",2003,kocsányos tölgy,525/2015; 541/2022; 543/2026
Rigyác,512,Zala,"46,29,00-16,51,38",2014,kocsányos tölgy,"Vissi Géza; erősen korhadt, üreges"
Vizslás/Újlak,511,Nógrád,"48,02,09-19,47,38",2003,kocsányos tölgy,528/2013jan
Tiszaújváros,511,Borsod-Abaúj-Zemplén,"47,54,56-21,05,49",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán; magasság: 30 m/2019"
Túristvándi,511,Szabolcs-Szatmár-Bereg,"48,04,00-22,39,56",2009,kocsányos tölgy,Barcánfalvi Péter
Nagyrécse,511,Zala,"46,29,12-17,04,26",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán"
Komjáti,511,Borsod-Abaúj-Zemplén,"48,32,38-20,45,33",2008,kocsányos tölgy,
Somogysárd/Sörnyepuszta,511,Somogy,"46,28,32-17,35,32",2008,kocsányos tölgy,Balogh Béla
Zsennye,511,Vas,"47,06,27-16,49,38",2005,kocsányos tölgy,531/2014; 525/2020
Kőkút-Gyöngyöspuszta,511,Somogy,"46,10,05-17,36,54",2026,kocsányos tölgy,"Elblinger Ferenc, Lukács Róbert"
Szulok,511,Somogy,"46,03,58-17,31,19",2015,kocsányos tölgy,Lukács Róbert
Somogyvámos,510,Somogy,"46,34,10-17,41,39",2016,kocsányos tölgy,"Lukács Róbert, Sólyom Attila"
Túristvándi,510,Szabolcs-Szatmár-Bereg,"48,03,50-22,40,13",2009,kocsányos tölgy,Barcánfalvi Péter; 525/2014
Kisvásárhely,510,Zala,"46,59,40-17,12,13",2018,kocsányos tölgy,Takács Márton
Bácsalmás,510,Bács-Kiskun,"46,07,28-19,20,05",2022,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Vejti,510,Baranya,"45,49,50-17,58,16",2016,kocsányos tölgy,
Vereb,510,Fejér,"47,19,01-18,37,05",2010,kocsányos tölgy,Baranyai László
Lad/Rákospuszta,510,Somogy,"46,08,50-17,39,39",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán"
Lad,510,Somogy,"46,09,29-17,38,07",2017,kocsányos tölgy,Lukács Róbert; magasság: 25 m/2017
Kéked,510,Borsod-Abaúj-Zemplén,"48,32,43-21,21,19",2010,kocsányos tölgy,Molnár Bence
Gemenc,510,Tolna,"46,14,05-18,51,03",2009,kocsányos tölgy,
Sárvár,510,Vas,"47,16,52-16,58,42",2003,kocsányos tölgy,halott/2014
Iklódbördőce,510,Zala,"46,35,19-16,35,32",2004,kocsányos tölgy,
Pettend,510,Baranya,"46,00,25-17,41,14",2008,kocsányos tölgy,Lukács Róbert
Lad/Rákospuszta,510,Somogy,"46,08,54-17,39,36",2009,kocsányos tölgy,Lukács Róbert
Kisbér,510,Komárom-Esztergom,"47,26,04-18,03,06",2010,kocsányos tölgy,Szél Győző
Kaposvár,510,Somogy,"46,24,10-17,48,04",2024,csertölgy,Schmidt András
Vértestolna,510,Komárom-Esztergom,"47,35,33-18,26,00",2021,kocsányos tölgy,"Baranyai László, Szél Győző, Lenkei Péter; hibrid"
Sárvár,510,Vas,"47,16,36-16,58,43",2003,kocsányos tölgy,halott/2014
Gyulavári,509,Békés,"46,41,32-21,25,07",2025,kocsányos tölgy,
Somogytarnóca,509,Somogy,"46,00,53-17,27,33",2015,kocsányos tölgy,Szél Győző
Szőkedencs,509,Somogy,"46,33,13-17,13,45",2017,kocsányos tölgy,"Baranyai László, Sólyom Attila; magasság: 20 m/2017"
Tiszadob,509,Szabolcs-Szatmár-Bereg,"48,01,12-21,09,49",2016,kocsányos tölgy,
Kunbaracs,509,Bács-Kiskun,"46,58,48-19,21,46",2012,kocsányos tölgy,"Molnár László, Szél Győző"
Kajárpéc,509,Győr-Moson-Sopron,"47,30,41-17,38,27",2003,kocsányos tölgy,"összenőtt törzsek, 509+409, együtt 768 cm"
Szabadkígyós,509,Békés,"46,36,28-21,05,01",2017,kocsányos tölgy,"Torma Zoltánné, Torma Zoltán; magasság: 25 m; 513/2021"
Szulok,509,Somogy,"46,03,54-17,31,10",2015,csertölgy,Lukács Róbert
Somogyvár,509,Somogy,"46,34,28-17,36,40",2021,csertölgy,Sólyom Attila
Orosztony,509,Zala,"46,36,07-17,04,04",2023,kocsánytalan tölgy,Schneidler Viktor (BFNP)
Martonvásár,509,Fejér,"47,18,54-18,47,01",2003,kocsányos tölgy,512/2008; 518/2012
Zsennye,509,Vas,"47,06,33-16,49,28",2005,kocsányos tölgy,2014: kivágták
Bogyiszló,509,Tolna,"46,23,45-18,51,39",2007,kocsányos tölgy,Baranyai László; 518/2014
Lendvajakabfa,508,Zala,"46,41,17-16,26,39",2012,kocsányos tölgy,Vissi Géza
Csokonyavisonta,508,Somogy,"46,02,13-17,27,33",2011,csertölgy,"Zombori Zoltán, Lukács Róbert, Szél Győző; 2023: már nincsen meg (Fodor Péter)"
Nagyrécse,508,Zala,"46,29,15-17,04,17",2018,csertölgy,"Horváth Béla, Torma Zoltánné, Torma Zoltán"
Túristvándi,508,Szabolcs-Szatmár-Bereg,"48,03,40-22,40,18",2009,kocsányos tölgy,Barcánfalvi Péter
Felsőszentmárton,508,Baranya,"45,50,49-17,42,46",2020,kocsányos tölgy,523/2026
Bogyiszló,508,Tolna,"46,23,39-18,51,46",2007,kocsányos tölgy,Baranyai László
Diósviszló,508,Baranya,"45,51,47-18,09,55",2025,kocsányos tölgy,Torma Zoltán
Homorúd,508,Baranya,"45,56,58-18,48,55",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán"
Békéscsaba,507,Békés,"46,42,36-21,06,36",2025,kocsányos tölgy,
Galgamácsa,507,Pest,"47,43,27-19,25,08",2004,kocsányos tölgy,"2022: kiszáradt, de még áll (Veress Judit)"
Sellye,507,Baranya,"45,52,13-17,50,51",2009,kocsányos tölgy,Lukács Róbert; 522/2014; 535/2020; 538/2025
Csokonyavisonta,507,Somogy,"46,02,55-17,27,50",2015,kocsányos tölgy,"Lukács Róbert; 2020: széthasadt, elpusztult"
Ajka,507,Veszprém,"47,02,04-17,34,18",2013,csertölgy,Jandala Attila
Somogyfajsz,507,Somogy,"46,30,05-17,33,57",2016,kocsányos tölgy,Sólyom Attila; Torma Zoltánné és Torma Zoltán
Süttő/Bikolpuszta,507,Komárom-Esztergom,"47,42,50-18,27,02",2013,csertölgy,Torma Zoltán
Lepsény,507,Fejér,"46,59,39-18,15,04",2008,kocsányos tölgy,Baranyai László
Felsőszentmárton,507,Baranya,"45,50,51-17,42,45",2011,kocsányos tölgy,"Focipálya mellett szép liget, mintegy három tucat öreg tölggyel. 529/2020"
Eszteregnye,507,Zala,"46,29,18-16,52,45",2010,csertölgy,Csóbor Ákos
Kerkafalva,507,Zala,"46,46,43-16,28,45",2004,kocsányos tölgy,514/2012
Budafapuszta,507,Zala,"46,30,35-16,41,49",2004,kocsányos tölgy,
Dég,507,Fejér,"46,52,26-18,26,09",2014,kocsányos tölgy,"Torma Zoltán, Torma Zoltánné"
Tiszadob,506,Szabolcs-Szatmár-Bereg,"48,01,11-21,09,49",2016,kocsányos tölgy,
Neszmély,506,Komárom-Esztergom,"47,42,08-18,25,46",2010,kocsányos tölgy,"Baranyai László; 522/2014, 535/2026"
Perkáta,506,Fejér,"47,02,58-18,47,16",2022,kocsányos tölgy,"Szél Győző, DrT"
Bakonyszücs,506,Veszprém,"47,18,49-17,42,12",2017,csertölgy,Jandala Attila; magasság: 25 m/2017
Tiszaújváros,506,Borsod-Abaúj-Zemplén,"47,54,51-21,05,45",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán"
Iklódbördőce,506,Zala,"46,35,23-16,35,33",2022,kocsányos tölgy,
Iklódbördőce,506,Zala,"46,35,20-16,35,31",2012,kocsányos tölgy,ZDT; 503/2022 - kérge hullik
Ikervár,506,Vas,"47,11,19-16,53,22",2008,kocsányos tölgy,"Pásti Gréta, Baranyai László"
Bakonyszentlászló,506,Győr-Moson-Sopron,"47,21,36-17,49,16",2018,kocsánytalan tölgy,"Vinyén található; Baranyai László, Jandala Attila; magasság: 16,5 m/2018; 486/2010"
Diósviszló,506,Baranya,"45,51,45-18,09,43",2010,kocsányos tölgy,"Lukács Róbert, Szél Győző; 528/2025"
Balajt,506,Borsod-Abaúj-Zemplén,"48,20,06-20,49,03",2011,kocsányos tölgy,Molnár Bence
Orosztony,506,Zala,"46,35,59-17,03,44",2023,csertölgy,Schneidler Viktor (BFNP)
Téglás,506,Hajdú-Bihar,"47,43,10-21,39,58",2006,kocsányos tölgy,
Tuzsér,506,Szabolcs-Szatmár-Bereg,"48,20,54-22,07,18",2023,kocsányos tölgy,Egy alacsonyan kinövő résszel 717 cm.
Zsennye,506,Vas,"47,06,34-16,49,23",2014,kocsányos tölgy,
Tuzsér,506,Szabolcs-Szatmár-Bereg,"48,20,52-22,07,17",2003,kocsányos tölgy,540/2023
Gemenc,506,Tolna,"46,16,20-18,52,40",2003,kocsányos tölgy,
Békéscsaba,506,Békés,"46,41,09-21,06,04",2003,kocsányos tölgy,515/2009
Teklafalu,506,Baranya,"45,55,44-17,44,00",2009,kocsányos tölgy,2011-ben kivágták.
Kaposvár,506,Somogy,"46,24,08-17,48,03",2024,csertölgy,Schmidt András; magasság: 29 m/2024
Tornyiszentmiklós,506,Zala,"46,31,45-16,32,34",2012,kocsányos tölgy,ZDT; kissé romos; 515/2025
Gemenc,506,Bács-Kiskun,"46,08,53-18,52,26",2017,kocsányos tölgy,"Badari Tibor, Csontos Péter; magasság: 25 m; pandúri erdészháznál, Bajához tartozik"
Körmend,505,Vas,"47,00,32-16,36,41",2007,kocsányos tölgy,
Orosztony,505,Zala,"46,38,21-17,04,04",2003,kocsányos tölgy,
Füzérradvány,505,Borsod-Abaúj-Zemplén,"48,29,04-21,32,00",2019,kocsányos tölgy,ZDT; 530/2025
Homorúd,505,Baranya,"45,57,48-18,49,07",2017,kocsányos tölgy,"András István, Torma Zoltánné, Torma Zoltán"
Ercsi,505,Fejér,"47,14,20-18,54,14",2009,kocsányos tölgy,Baranyai László; 2018: kiszáradt (Szél Győző)
Somogyfajsz,505,Somogy,"46,30,09-17,33,54",2016,kocsányos tölgy,Sólyom Attila
Tiszaújváros,505,Borsod-Abaúj-Zemplén,"47,54,57-21,05,51",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán"
Tiszaújváros,505,Borsod-Abaúj-Zemplén,"47,54,56-21,05,50",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán"
Nemesnép,505,Zala,"46,42,18-16,27,45",2004,kocsányos tölgy,2012: kivágták
Vérteskethely,505,Komárom-Esztergom,"47,29,05-18,05,22",2020,kocsányos tölgy,Szél Győző; magasság: 20 m/2020
Vejti,505,Baranya,"45,49,47-17,58,18",2016,kocsányos tölgy,
Túristvándi,505,Szabolcs-Szatmár-Bereg,"48,03,50-22,39,59",2014,kocsányos tölgy,
Zomba,505,Tolna,"46,25,07-18,33,40",2025,kocsányos tölgy,"Baranyai László. 2025: Erősen csonkolt, de még kihajtott."
Csokonyavisonta,504,Somogy,"46,03,01-17,27,08",2016,kocsányos tölgy,
Bakonyszentlászló,504,Győr-Moson-Sopron,"47,22,14-17,49,02",2010,kocsányos tölgy,Vinye közelében; Jandala Attila
Tiszaújváros,504,Borsod-Abaúj-Zemplén,"47,54,56-21,05,54",2019,kocsányos tölgy,"Török Tamás, Kecskeméti Zoltán"
Poroszló,504,Heves,"47,38,35-20,39,22",2016,kocsányos tölgy,Lesti Szabolcs
Túristvándi,504,Szabolcs-Szatmár-Bereg,"48,04,00-22,40,09",2014,kocsányos tölgy,
Somogyvár,504,Somogy,"46,34,24-17,36,42",2021,csertölgy,Sólyom Attila
Öreglak,503,Somogy,"46,36,25-17,37,35",2015,kocsányos tölgy,Sólyom Attila; piramistölgy
Tornyiszentmiklós,503,Zala,"46,31,51-16,32,10",2025,kocsányos tölgy,
Rinyabesenyő,503,Somogy,"46,09,42-17,35,03",2007,kocsányos tölgy,
